Stock, Average Cost
1000,601526.79
1010,597492.755
1020,596910.62
1030,595378.595
1040,594509.105
1050,596340.755
1060,589141.71
1070,589779.51
1080,584477.37
1090,582722.875
1100,586038.08
1110,587895.83
1120,585100.175
1130,584931.36
1140,573658.05
1150,579790.44
1160,572923.855
1170,577623.505
1180,569850.955
1190,569309.77
1200,572031.08
1210,570724.87
1220,570827.295
1230,558156.21
1240,566882.58
1250,568946.26
1260,563410.955
1270,559840.73
1280,558708.17
1290,555307.115
1300,552822.62
1310,553814.055
1320,550013
1330,548924.7
1340,544691.675
1350,542045
1360,546688.09
1370,542946.065
1380,543133.835
1390,544277.125
1400,538479.78
1410,536277.17
1420,534893.62
1430,535621.495
1440,537232.375
1450,533458.2
1460,533820.57
1470,525607.05
1480,528934.065
1490,520572.45
1500,526235.23
1510,517325.865
1520,523272.34
1530,518883.97
1540,517417.57
1550,516355.75
1560,520080.385
1570,516977.27
1580,513220.97
1590,514192.905
1600,508637.13
1610,509915.82
1620,506849.33
1630,498926.225
1640,511214.89
1650,503061.03
1660,501186.215
1670,502293.01
1680,501395.475
1690,501810.7
1700,498038.77
1710,493887.56
1720,496703.05
1730,491301.495
1740,493926.98
1750,486699.39
1760,488940.845
1770,485405.82
1780,486941.02
1790,483564.955
1800,484819.87
1810,479315.88
1820,478651.525
1830,474178.585
1840,475099.975
1850,476159.805
1860,469853.99
1870,468378.945
1880,468927.595
1890,466972.555
1900,464839.395
1910,467150.97
1920,461758.62
1930,466342.62
1940,463610.285
1950,460963.225
1960,457046.655
1970,458060.555
1980,460410.145
1990,455840.435
2000,460686.05
2010,449504.965
2020,451043.455
2030,444037.24
2040,448861.755
2050,451861.015
2060,443255.26
2070,445897.55
2080,445350.385
2090,441307.205
2100,445354.85
2110,437922.495
2120,435650.95
2130,439077.775
2140,435026.165
2150,434198.165
2160,431551.105
2170,423994.74
2180,433931.305
2190,427399.975
2200,424206.11
2210,422244.625
2220,424716.41
2230,419075.285
2240,418715.82
2250,417779.715
2260,414707.025
2270,410531.33
2280,413722.105
2290,417903.69
2300,415371.185
2310,407902.275
2320,410875.635
2330,410183.835
2340,408324.695
2350,405749.775
2360,405120.43
2370,402880.845
2380,401303.34
2390,402344.855
2400,394849.92
2410,396440.9
2420,396244.6
2430,392515.005
2440,390856.955
2450,395662.365
2460,391131.84
2470,386073.995
2480,387007.33
2490,387435.645
2500,381011.025
2510,381741.965
2520,378829.26
2530,383515.185
2540,376457.055
2550,381418.99
2560,372537.27
2570,376553.355
2580,375339.69
2590,376315.125
2600,373823.42
2610,374940.145
2620,365607.97
2630,368241.9
2640,367072.865
2650,360936.335
2660,365247.365
2670,368116.6
2680,364458.275
2690,357718.19
2700,358212.735
2710,356950.72
2720,356716.95
2730,351017.035
2740,350479.48
2750,353158.12
2760,345301.085
2770,345577.91
2780,343045.45
2790,350319.32
2800,341932.44
2810,337517.875
2820,342184.31
2830,344837.96
2840,344091.18
2850,337169.415
2860,340449.11
2870,335080.12
2880,334340.625
2890,337961.09
2900,335857.885
2910,328408.415
2920,331516.42
2930,328472.045
2940,331461
2950,323334.355
2960,327107.395
2970,325067.535
2980,324546.185
2990,324271.095
3000,322558.885
3010,324835.43
3020,318881.83
3030,315937.275
3040,320960.64
3050,314553.905
3060,313352.01
3070,318813.755
3080,313647.41
3090,313214.2
3100,314480.715
3110,306278.12
3120,310272.925
3130,304739.685
3140,309482.53
3150,306857.785
3160,303458.23
3170,303937.975
3180,302971.305
3190,301140.005
3200,302852.1
3210,297507.41
3220,298582.315
3230,299411.34
3240,294351.765
3250,295199.835
3260,295872.57
3270,291155.8
3280,292782.29
3290,289990.555
3300,286883.43
3310,288888.19
3320,283601.63
3330,284924.015
3340,286614.21
3350,284068.32
3360,282292.095
3370,283939.24
3380,283753.245
3390,276333.805
3400,282875.68
3410,278248.255
3420,279068.64
3430,273425.25
3440,275229.54
3450,273722.94
3460,272636.465
3470,274469.895
3480,270045.965
3490,270464.255
3500,271742.185
3510,267442.8
3520,265950.765
3530,266422.335
3540,264863.23
3550,266229.195
3560,265118.105
3570,260945.185
3580,259773.5
3590,261499.345
3600,255166.96
3610,260245.67
3620,256487.425
3630,258465.73
3640,257340.81
3650,259868.345
3660,258485.765
3670,256570.625
3680,254613.115
3690,257250.02
3700,252270.51
3710,252108.46
3720,253418.645
3730,249148.83
3740,250931.31
3750,249487.64
3760,250964.615
3770,248894.485
3780,242970.455
3790,243253.65
3800,245706.43
3810,240980.81
3820,242143.54
3830,242900.085
3840,241255.905
3850,239253.43
3860,240203.29
3870,242872.25
3880,241549.405
3890,237832.97
3900,242119.28
3910,238029.29
3920,237356.77
3930,236671.655
3940,236224.81
3950,226940.28
3960,230913.915
3970,227482.84
3980,231492.2
3990,231140.56
4000,227828.32
4010,229401.145
4020,227862.345
4030,228469.515
4040,227237.22
4050,227677.795
4060,226538.22
4070,226467.145
4080,222869.74
4090,222397.39
4100,220984.6
4110,221102.48
4120,222447.095
4130,219556.685
4140,217778.785
4150,218905.565
4160,219501.395
4170,223886.475
4180,216969.515
4190,215441.43
4200,220821.02
4210,220005.775
4220,214492.96
4230,215962.66
4240,211664.025
4250,214250.345
4260,211825.1
4270,214441.445
4280,214560.435
4290,212550.405
4300,210675.675
4310,210666.745
4320,210042.255
4330,210245.48
4340,204462.475
4350,208993.75
4360,205659.115
4370,205172.09
4380,204173.215
4390,204490.665
4400,204522.19
4410,202133.7
4420,205030.765
4430,205464.5
4440,201148.185
4450,200461.215
4460,201231.045
4470,201393.27
4480,199863.61
4490,192701.285
4500,198526.6
4510,196628.355
4520,197730.34
4530,194838.125
4540,198025.715
4550,196979.99
4560,193242.55
4570,197295.565
4580,194476.94
4590,192068.48
4600,193210.885
4610,191922.66
4620,191783.965
4630,190904.165
4640,189876.31
4650,187906.695
4660,189893.045
4670,188243.145
4680,185759.96
4690,189030.985
4700,185887.365
4710,186474.1
4720,184631.405
4730,186075.54
4740,186683.855
4750,184290.335
4760,182135.55
4770,186892.53
4780,181351.8
4790,180043.45
4800,184289.99
4810,181460.7
4820,181374.7
4830,179416.785
4840,179737.835
4850,177343.03
4860,183202.77
4870,179023.315
4880,180235.15
4890,179806.495
4900,176765.05
4910,179787.62
4920,177702.615
4930,176321.705
4940,175158.55
4950,173759.445
4960,175682.325
4970,174196.995
4980,175116.015
4990,174855.53
5000,173251.715
5010,172355.785
5020,173814.905
5030,172045.985
5040,171092.585
5050,170527.26
5060,173905.55
5070,169188.155
5080,170126.74
5090,168247.7
5100,170597.24
5110,166944.89
5120,168455.825
5130,164585.385
5140,168144.88
5150,168761.88
5160,163186.085
5170,167806.765
5180,162787.31
5190,165560.32
5200,163372.86
5210,164213.235
5220,164184.54
5230,161462.395
5240,165208.525
5250,158905.035
5260,160613.99
5270,160721.185
5280,163242.93
5290,160192.525
5300,158445.87
5310,162646.925
5320,159592.39
5330,160865.025
5340,160434.935
5350,158313.18
5360,158528.375
5370,159673.125
5380,159353.465
5390,155556.535
5400,157267.505
5410,154723.03
5420,156696.465
5430,157631.665
5440,153779.21
5450,154771.265
5460,154908.04
5470,155559.035
5480,154362.205
5490,155930.06
5500,152151.075
5510,152171.665
5520,152252.725
5530,153055.635
5540,152761.495
5550,149663.09
5560,151280.975
5570,150706.335
5580,149454.9
5590,151725.36
5600,149367.875
5610,149550.37
5620,151492.765
5630,150696.485
5640,150120.22
5650,147520.295
5660,146902.34
5670,149039.08
5680,149395.81
5690,146903.19
5700,147628.68
5710,148003.605
5720,147498.95
5730,146741.445
5740,145894.795
5750,144888.74
5760,146837.18
5770,147079.75
5780,144032.005
5790,145503.185
5800,145203.12
5810,144440.26
5820,143920.66
5830,143915.855
5840,143618.315
5850,144314.25
5860,143345.245
5870,142688
5880,143162.945
5890,143330.43
5900,142677.66
5910,141758.375
5920,140871.96
5930,141831.695
5940,142544.1
5950,141678.045
5960,140168.89
5970,141074.785
5980,139431.36
5990,142305.88
6000,141245.41
6010,141211.985
6020,140244.605
6030,140478.545
6040,138202.68
6050,139640.955
6060,138920.485
6070,139345.65
6080,136724.3
6090,137213.165
6100,140434.49
6110,138419.055
6120,139273.06
6130,136341.025
6140,137265.44
6150,136732.21
6160,135637.21
6170,137097.025
6180,137890.115
6190,136523.835
6200,136971.85
6210,135532.575
6220,135489.6
6230,136605.2
6240,136289.9
6250,136344.455
6260,137211.235
6270,134642.36
6280,135166.13
6290,134634.51
6300,134887.505
6310,135491.355
6320,137248.025
6330,136371.05
6340,136233.865
6350,135695.305
6360,135489.14
6370,135116.14
6380,136460.04
6390,134817.965
6400,134823.915
6410,135711.78
6420,135048.675
6430,136865.5
6440,135396.905
6450,136940.265
6460,136170.545
6470,134831.585
6480,135895.84
6490,136220.34
6500,134935.855
6510,136599.82
6520,135390.39
6530,133822.37
6540,133215.525
6550,135864.355
6560,134644.58
6570,134763.945
6580,135354.595
6590,136090.625
6600,134147.31
6610,135731.575
6620,134752.265
6630,134538.255
6640,136331.135
6650,136410.955
6660,134309.355
6670,135266.28
6680,135564.305
6690,134177.075
6700,134346.945
6710,137499.62
6720,135738.105
6730,134549.97
6740,137005.235
6750,134775.645
6760,134148.625
6770,135972.325
6780,136973.445
6790,136179.545
6800,135501.29
6810,135469.56
6820,133801.37
6830,137144.7
6840,135415.94
6850,136387.02
6860,137193.765
6870,136307.48
6880,134836.345
6890,136726.86
6900,137311.44
6910,135825.905
6920,137056.225
6930,136792.35
6940,135824.46
6950,136327.015
6960,137972.975
6970,139096.74
6980,138621.35
6990,138550.305
7000,138558.51
7010,138527.015
7020,140667.915
7030,136852.185
7040,139606.95
7050,139216.93
7060,138967.87
7070,139061.065
7080,138090.25
7090,141024.02
7100,139167.645
7110,141764.485
7120,139974.85
7130,142121.5
7140,140724.445
7150,140707.265
7160,141288.27
7170,139903.09
7180,141890.2
7190,142290.46
7200,142707.825
7210,141956.095
7220,140932.375
7230,142341.415
7240,143130.815
7250,143119.295
7260,142279.97
7270,143247.22
7280,144151.88
7290,141614.24
7300,145354.17
7310,145506.485
7320,144646.47
7330,143715.77
7340,145353.77
7350,144666.835
7360,143622.56
7370,145920.845
7380,145807.21
7390,146124.135
7400,145317.185
7410,145386.585
7420,146382.365
7430,145346.4
7440,147346.235
7450,147404.005
7460,148106.765
7470,147098.07
7480,148722.23
7490,148450.24
7500,148569.495
7510,148590.48
7520,149598.495
7530,148924.58
7540,150737.76
7550,151618.03
7560,151498.895
7570,151922.92
7580,150983.77
7590,150306.045
7600,151827.455
7610,151431.855
7620,152553.635
7630,151939.04
7640,153650.095
7650,152516.7
7660,152860.075
7670,153812.085
7680,153721.615
7690,154361.245
7700,154873.965
7710,154599.61
7720,155055.445
7730,156088.735
7740,155026.635
7750,155296.79
7760,157557.29
7770,156921.145
7780,157637.775
7790,156395.175
7800,155714.03
7810,158341.16
7820,159223.785
7830,159306.57
7840,156982.65
7850,158419.23
7860,159024.88
7870,158389.655
7880,159841.28
7890,159721.315
7900,161804.245
7910,160778.07
7920,160167.975
7930,161457.23
7940,160975.57
7950,162834.095
7960,163145.72
7970,163281.605
7980,164518.555
7990,164439.54
8000,163601.94
8010,165568.905
8020,167079.59
8030,165655.52
8040,166008.44
8050,166344.715
8060,165773.08
8070,166567.005
8080,167058.955
8090,168352.225
8100,168090.33
8110,169061
8120,170088.775
8130,168550.615
8140,170454.92
8150,169696.26
8160,170061.715
8170,171288.31
8180,170852.76
8190,172110.9
8200,172345.465
8210,170822.61
8220,171921.595
8230,173112.98
8240,172858.53
8250,174710.835
8260,174395.705
8270,173140.345
8280,174714.585
8290,174570.26
8300,175730.105
8310,175404.575
8320,175119.765
8330,176859.215
8340,177166.94
8350,175975.23
8360,177874.845
8370,178053.96
8380,179128.57
8390,179067.905
8400,179367.485
8410,180986.21
8420,178590.185
8430,179858.1
8440,179933.535
8450,180435.59
8460,181822.225
8470,181813.845
8480,183480.875
8490,182447.505
8500,183178.12
8510,185813.755
8520,183675.47
8530,184183.78
8540,184415.07
8550,185123.095
8560,185085.385
8570,184627.225
8580,184506.39
8590,185175.945
8600,187968.36
8610,188877.085
8620,187919.7
8630,189540.35
8640,187692.16
8650,188846.77
8660,190017.76
8670,190200.33
8680,191536.665
8690,191771.745
8700,190221.82
8710,191282.215
8720,191402.365
8730,192959.74
8740,192444.815
8750,193398.09
8760,194657.785
8770,195494.225
8780,194779.85
8790,195580.455
8800,195479.335
8810,195702.165
8820,193981.215
8830,196014.525
8840,197314.165
8850,196851.36
8860,196850.585
8870,196761.285
8880,199697.41
8890,199065.565
8900,198362.04
8910,200307.66
8920,200608.23
8930,200359.105
8940,201161.37
8950,200195.44
8960,201255.16
8970,204190.535
8980,203837.545
8990,203634.545
9000,204660.815
9010,205141.63
9020,202362.15
9030,205493.77
9040,205850.155
9050,204982.725
9060,205438.915
9070,207497.505
9080,206314.71
9090,207321.66
9100,208113.985
9110,208574.21
9120,209018.455
9130,208683
9140,209058.23
9150,207497.575
9160,209378.59
9170,211442.625
9180,210686.28
9190,213151.08
9200,213264.135
9210,216034.465
9220,211760.715
9230,214053.585
9240,214561.32
9250,214471.63
9260,215760.095
9270,215723.735
9280,215230.33
9290,217968.76
9300,217619.31
9310,216900.45
9320,216233.635
9330,216965.6
9340,218756.7
9350,217178.465
9360,220214.635
9370,220715.405
9380,220806.415
9390,222643.7
9400,222069.765
9410,222023.555
9420,224248.63
9430,220437.025
9440,223168.765
9450,224324.35
9460,222879.01
9470,225073.245
9480,224300.135
9490,224884.435
9500,226915.465
9510,227193.61
9520,225068.265
9530,227277.06
9540,228343.47
9550,227774.095
9560,229012.45
9570,231071.895
9580,229647.13
9590,229437.965
9600,229514.59
9610,231637.48
9620,231792.65
9630,232619.625
9640,232932.62
9650,233425.515
9660,234307.655
9670,234087.255
9680,233383.92
9690,236354.175
9700,235312.17
9710,236732.47
9720,236227.695
9730,236632.8
9740,238705.845
9750,239439.48
9760,238428.08
9770,237975.62
9780,237459.91
9790,240546.305
9800,239809.44
9810,240861.975
9820,241029.07
9830,240728.67
9840,243128.605
9850,243895.04
9860,242573.96
9870,243395.1
9880,242203.12
9890,245351.535
9900,245745.39
9910,245252.57
9920,246312.395
9930,247735.63
9940,245215.72
9950,245660.725
9960,248931.39
9970,247101.18
9980,251013.7
9990,249904.98
10000,248176.355
