Stock, Risk Percentage
1000,0.9388
1010,0.9362
1020,0.9351
1030,0.9377
1040,0.9352
1050,0.9393
1060,0.9349
1070,0.934
1080,0.9306
1090,0.9351
1100,0.9327
1110,0.9323
1120,0.9361
1130,0.9318
1140,0.9283
1150,0.9331
1160,0.9326
1170,0.9274
1180,0.9251
1190,0.9227
1200,0.9191
1210,0.9191
1220,0.9177
1230,0.916
1240,0.9136
1250,0.906
1260,0.9087
1270,0.9076
1280,0.9088
1290,0.901
1300,0.9044
1310,0.8943
1320,0.9
1330,0.8936
1340,0.8877
1350,0.8907
1360,0.8934
1370,0.8815
1380,0.8818
1390,0.8815
1400,0.8782
1410,0.8763
1420,0.8787
1430,0.8712
1440,0.866
1450,0.8688
1460,0.8621
1470,0.8549
1480,0.8589
1490,0.8558
1500,0.8552
1510,0.8549
1520,0.8498
1530,0.8465
1540,0.8498
1550,0.8429
1560,0.8441
1570,0.8443
1580,0.8423
1590,0.8419
1600,0.8342
1610,0.8368
1620,0.8301
1630,0.8297
1640,0.8218
1650,0.8188
1660,0.8161
1670,0.817
1680,0.8083
1690,0.8172
1700,0.8118
1710,0.8091
1720,0.8094
1730,0.798
1740,0.8045
1750,0.7983
1760,0.8045
1770,0.8006
1780,0.7902
1790,0.7989
1800,0.7925
1810,0.7836
1820,0.7862
1830,0.7866
1840,0.7778
1850,0.7739
1860,0.7785
1870,0.7773
1880,0.7695
1890,0.7684
1900,0.7701
1910,0.7689
1920,0.7621
1930,0.7568
1940,0.7564
1950,0.7618
1960,0.7606
1970,0.7495
1980,0.7368
1990,0.7545
2000,0.7531
2010,0.7435
2020,0.7463
2030,0.7452
2040,0.74
2050,0.7296
2060,0.7394
2070,0.7312
2080,0.7239
2090,0.7244
2100,0.7213
2110,0.725
2120,0.7152
2130,0.7098
2140,0.7135
2150,0.7151
2160,0.7118
2170,0.7005
2180,0.7172
2190,0.7098
2200,0.7069
2210,0.6969
2220,0.6937
2230,0.6931
2240,0.7048
2250,0.6877
2260,0.6828
2270,0.6845
2280,0.6872
2290,0.68
2300,0.6793
2310,0.6734
2320,0.6768
2330,0.6738
2340,0.6677
2350,0.6755
2360,0.6585
2370,0.6636
2380,0.6616
2390,0.663
2400,0.6496
2410,0.6552
2420,0.6509
2430,0.6549
2440,0.648
2450,0.6593
2460,0.6482
2470,0.6434
2480,0.647
2490,0.64
2500,0.6365
2510,0.6371
2520,0.632
2530,0.6387
2540,0.6235
2550,0.6305
2560,0.625
2570,0.6241
2580,0.6212
2590,0.6175
2600,0.6101
2610,0.6117
2620,0.6127
2630,0.6089
2640,0.6117
2650,0.6037
2660,0.5978
2670,0.6015
2680,0.605
2690,0.5972
2700,0.596
2710,0.5945
2720,0.6036
2730,0.5938
2740,0.5862
2750,0.5928
2760,0.5894
2770,0.5866
2780,0.5795
2790,0.5793
2800,0.5857
2810,0.5836
2820,0.587
2830,0.5797
2840,0.5763
2850,0.5748
2860,0.5702
2870,0.574
2880,0.583
2890,0.5723
2900,0.568
2910,0.5731
2920,0.5668
2930,0.5723
2940,0.5487
2950,0.5643
2960,0.5713
2970,0.5623
2980,0.5603
2990,0.5588
3000,0.5583
3010,0.5567
3020,0.5515
3030,0.554
3040,0.5515
3050,0.5553
3060,0.5501
3070,0.5411
3080,0.5468
3090,0.5541
3100,0.5459
3110,0.5551
3120,0.5387
3130,0.5515
3140,0.5412
3150,0.534
3160,0.5266
3170,0.5403
3180,0.5446
3190,0.5391
3200,0.5157
3210,0.5303
3220,0.5319
3230,0.5341
3240,0.5258
3250,0.5296
3260,0.5166
3270,0.522
3280,0.5212
3290,0.5145
3300,0.5273
3310,0.5136
3320,0.5086
3330,0.5184
3340,0.5143
3350,0.5158
3360,0.5071
3370,0.5062
3380,0.5153
3390,0.5101
3400,0.5131
3410,0.5141
3420,0.5054
3430,0.5003
3440,0.4988
3450,0.5091
3460,0.5012
3470,0.4996
3480,0.4945
3490,0.5017
3500,0.5042
