Iterations, StdDeviation
100,303200.42616229947
101,312772.76688912616
102,301535.9714212985
103,287906.20214715874
104,257112.4086110025
105,326869.20655185106
106,313819.49411028135
107,280324.4173791326
108,292220.65872456157
109,321097.61516191845
110,312668.021659707
111,306235.7338308925
112,286393.5770268129
113,272720.47498261573
114,280668.442448058
115,317666.0432004757
116,337499.91752624826
117,310286.8507794052
118,317756.31578700285
119,311689.9216553094
120,300781.2820389593
121,338666.4394935813
122,289600.6504869474
123,314053.29607430304
124,290167.4553182661
125,308598.3121986252
126,302121.7536440289
127,275934.73833479115
128,319472.181397519
129,322978.9877246319
130,302290.6824721322
131,305430.55182135635
132,300784.1289810699
133,288789.376617541
134,292118.16534209857
135,306507.8252198265
136,308704.580831972
137,293196.24540451245
138,320468.59799782827
139,306108.2876079985
140,284379.85457865783
141,292455.71895359573
142,294184.4315595145
143,314033.00546510017
144,311347.94701988716
145,301642.1054818514
146,280582.1308536373
147,307209.3002883757
148,310617.2552815935
149,295563.02489572274
150,307882.3367928079
151,296627.84351351106
152,295329.8279360941
153,297786.01844549796
154,288661.2890492976
155,323478.6306744507
156,321548.7214329696
157,313972.401400393
158,309237.28234962997
159,309728.11078342504
160,317113.8448063583
161,329532.94603055815
162,298741.31445036794
163,313613.1641409463
164,296910.82723607775
165,320548.29909788235
166,295517.87341322907
167,298684.53460906976
168,299417.65792543197
169,313268.2267842896
170,309840.04862273106
171,310361.9340110872
172,294844.1764959672
173,301573.5149719002
174,317604.87773190194
175,290100.29637196515
176,317771.11031497736
177,290518.73233328894
178,302674.2227711389
179,320762.5263208281
180,306032.40248174703
181,298065.51234541694
182,293565.8995675457
183,294508.7237611232
184,284819.2840390052
185,301857.55406352767
186,305232.35077209043
187,326688.6875296837
188,297384.74400001473
189,297507.62132131704
190,329320.31639175507
191,310985.40894622577
192,324659.4018422843
193,291971.78793770866
194,296517.27333964326
195,306822.25567503215
196,302023.58815403294
197,313969.54323851
198,304685.7520123625
199,329775.32882433676
200,303921.81272656296
201,300782.02067224565
202,319660.77154933015
203,292726.18171464297
204,298232.08378286497
205,293331.20278217853
206,322015.5270570811
207,301510.1622874641
208,288830.207849032
209,282143.64429610886
210,308603.04504363553
